Aalsum	"53.308333, 6.369444"
Diepswal	"53.233333, 6.394444"
Dijkum	"53.372222, 6.734722"
Dingen	"53.354167, 6.509722"
Doezum	"53.201389, 6.248611"
Doodstil	"53.391667, 6.673611"
Dorkwerd	"53.250000, 6.512500"
Dorp	"53.238889, 6.233333"
Douwen	"53.348611, 6.393056"
Drieborg	"53.206944, 7.181944"
Duurkenakker	"53.140278, 6.902778"
Dwarsdiep	"53.025000, 6.938889"
Eekwerd	"53.326389, 6.797222"
Eekwerderdraai	"53.313889, 6.795833"
Eenrum	"53.362500, 6.458333"
Eenum	"53.338889, 6.781944"
Eextahaven	"53.163889, 6.984722"
Eibersburen	"53.248611, 6.261111"
Ekamp	"53.173611, 7.062500"
Electra	"53.313889, 6.355556"
Ellerhuizen	"53.279167, 6.609722"
Ellersinghuizen	"53.019444, 7.111111"
Engelbert	"53.208333, 6.647222"
Englum	"53.311111, 6.404167"
Enumatil	"53.215278, 6.408333"
Enzelens	"53.313889, 6.773611"
Eppenhuizen	"53.380556, 6.697222"
Essen	"53.191667, 6.604167"
Ewer	"53.336111, 6.361111"
Ezinge	"53.309722, 6.441667"
Faan	"53.233333, 6.373611"
Farmsum	"53.322222, 6.926389"
Feerwerd	"53.305556, 6.465278"
Felland	"53.163889, 6.630556"
Fiemel	"53.300000, 7.072222"
Finsterwolde	"53.198611, 7.084722"
Foxham	"53.170833, 6.727778"
Foxhol	"53.087500, 6.718056"
Foxholsterbosch	"53.173611, 6.706944"
Fraamklap	"53.338889, 6.636111"
Fransum	"53.277778, 6.448611"
Froombosch	"53.194444, 6.780556"
Frytum	"53.281944, 6.383333"
Gaarkeuken	"53.250000, 6.311111"
Gaarland	"53.266667, 6.856944"
Ganzedijk	"53.209722, 7.120833"
Garmerwolde	"53.247222, 6.650000"
Garnwerd	"53.304167, 6.493056"
Garrelsweer	"53.311111, 6.770833"
Garreweer	"53.320833, 6.820833"
Garsthuizen	"53.368056, 6.713889"
Geefsweer	"53.308333, 6.936111"
Glimmen	"53.138889, 6.629167"
Godlinze	"53.372222, 6.813889"
Goldhoorn	"53.201389, 7.070833"
Grijpskerk	"53.262500, 6.308333"
Grijssloot	"53.373611, 6.383333"
Groningen	"53.219444, 6.566667"
Grootegast	"53.212500, 6.273611"
Groot Maarslag	"53.338889, 6.452778"
Groot Wetsinge	"53.304167, 6.529167"
Hardeweer	"53.283333, 6.440278"
Haren	"53.170833, 6.613889"
Harkstede	"53.212500, 6.698611"
Harpel	"53.000000.0, 7.088889"
Harssens	"53.263889, 6.543056"
Hebrecht	"53.037500, 7.163889"
Heereburen	"53.283333, 6.351389"
Hefswal	"53.425000, 6.737500"
Heiligerlee	"53.156944, 7.009722"
Heineburen	"53.119444, 6.290278"
Hekkum	"53.286111, 6.516667"
Hellum	"53.238889, 6.838889"
Helwerd	"53.390278, 6.618056"
Hemert	"53.308333, 6.708333"
Het Reidland	"53.295833, 6.637500"
Heveskes	"53.309722, 6.965278"
Höchte	"53.043056, 7.012500"
Hoekje	"53.294444, 6.295833"
Hoeksmeer	"53.297222, 6.783333"
Hoetmansmeer	"53.040278, 6.911111"
Hofte	"53.050000, 7.061111"
Holte	"53.056944, 7.048611"
Holwierde	"53.358333, 6.873611"
Holwinde	"53.394444, 6.654167"
Honderd	"53.384722, 6.744444"
Hongerige Wolf	"53.215278, 7.133333"
Hoogezand	"53.162500, 6.761111"
Hoogkerk	"53.211111, 6.501389"
Hoogwatum	"53.391667, 6.880556"
Hoorn	"53.093056, 7.050000"
Hoornderveen	"53.068056, 7.040278"
Hoornsedijk	"53.168056, 6.586111"
Hornhuizen	"53.388889, 6.361111"
Horsten	"52.944444, 7.008333"
Houwerzijl	"53.336111, 6.340278"
Huizinge	"53.345833, 6.673611"
Jagerswijk	"53.170833, 6.812500"
Jipsingboermussel	"52.919444, 7.040278"
Jipsingboertange	"52.965278, 7.101389"
Jipsinghuizen	"52.977778, 7.150000"
Jonkersvaart	"53.129167, 6.298611"
Jukwerd	"53.334722, 6.845833"
Kaakhorn	"53.405556, 6.477778"
Kalkwijk	"53.147222, 6.776389"
Kantens	"53.365278, 6.634722"
Katershorn	"53.415278, 6.656944"
Kenwerd	"53.302778, 6.383333"
Kibbelgaarn	"53.113889, 6.959722"
Kiel-Windeweer	"53.112500, 6.779167"
Klei	"53.366667, 6.344444"
Kleine Huisjes	"53.395833, 6.408333"
Kleinemeer	"53.155556, 6.790278"
Klein Garnwerd	"53.306944, 6.502778"
Klein Harkstede	"53.218056, 6.651389"
Klein-Ulsda	"53.155556, 7.145833"
Klein Wetsinge	"53.301389, 6.531944"
Kloosterburen	"53.386111, 6.391667"
Kolham	"53.183333, 6.744444"
Kolhol	"53.395833, 6.776389"
Kommerzijl	"53.286111, 6.325000"
Koningsoord	"53.434722, 6.801389"
Kopaf	"53.259722, 6.954167"
Kopstukken	"52.958333, 7.059722"
Korengarst	"53.215278, 6.879167"
Korhorn	"53.300000, 6.359722"
Kornhorn	"53.181944, 6.243056"
Korte Akkers	"53.123611, 6.905556"
Kostverloren	"53.213889, 7.163889"
Krassum	"53.300000, 6.491667"
Krewerd	"53.354167, 6.848611"
Kroddeburen	"53.301389, 6.725000"
Kromme Elleboog	"53.191667, 7.070833"
Kropswolde	"53.143056, 6.723611"
Kruiselwerk	"53.065278, 6.988889"
Kruisweg	"53.388889, 6.375000"
Kuzemer	"53.213889, 6.333333"
Kuzemerbalk	"53.215278, 6.311111"
Lageland	"53.238889, 6.713889"
Lageweg	"53.254167, 6.645833"
Lalleweer	"53.290278, 7.006944"
Lammerburen	"53.312500, 6.362500"
Lammerweg	"52.969444, 7.152778"
Laskwerd	"53.293056, 6.845833"
Laude	"52.927778, 7.129167"
Laudermarke	"52.886111, 7.115278"
Lauderzwarteveen	"52.925000, 7.106944"
Lauwersoog	"53.408333, 6.198611"
Lauwerzijl	"53.311111, 6.295833"
Leegkerk	"53.229167, 6.488889"
Leek	"53.162500, 6.376389"
Leemdobben	"52.952778, 7.154167"
Leens	"53.359722, 6.379167"
Leermens	"53.344444, 6.798611"
Lellens	"53.301389, 6.709722"
Lettelbert	"53.190278, 6.411111"
Loppersum	"53.331944, 6.747222"
Losdorp	"53.376389, 6.836111"
Lucaswolde	"53.184722, 6.300000"
Luddeweer	"53.252778, 6.740278"
Lula	"53.126389, 6.790278"
Lutjegast	"53.233333, 6.258333"
Lutjeloo	"53.094444, 7.086111"
Lutjerijp	"53.356944, 6.804167"
Lutjewijtwerd	"53.309722, 6.697222"
Lutjewolde	"53.293056, 6.651389"
Maarhuizen	"53.341667, 6.490278"
Martenshoek	"53.162500, 6.730556"
Marum	"53.144444, 6.262500"
Meeden	"53.140278, 6.926389"
Meedhuizen	"53.284722, 6.911111"
Meerland	"53.177778, 7.044444"
Meerstad	"53.222500, 6.653056"
Meerwijck	"53.145833, 6.712500"
Mensingeweer	"53.351389, 6.465278"
Merum	"53.316667, 6.758333"
Middelbert	"53.222222, 6.636111"
Middelstum	"53.347222, 6.641667"
Midwolda	"53.194444, 7.013889"
Midwolde	"53.180556, 6.388889"
Modderland	"53.198611, 7.109722"
Molenrij	"53.387500, 6.405556"
Morige	"53.098611, 7.069444"
Munnekemoer	"52.844444, 7.081944"
Muntendam	"53.134722, 6.869444"
Mussel	"52.955556, 7.038889"
Musselkanaal	"52.931944, 7.015278"
Nansum	"53.358333, 6.887500"
Napels	"53.150000, 7.009722"
Niebert	"53.161111, 6.327778"
Niehove	"53.290278, 6.366667"
Niekerk	"53.225000, 6.352778"
Niekerk	"53.343056, 6.329167"
Niesoord	"53.187500, 7.025000"
Nieuw-Beerta	"53.190278, 7.162500"
Nieuwe Compagnie	"53.130556, 6.758333"
Nieuwe Pekela	"53.079167, 6.965278"
Nieuweschans	"53.180556, 7.208333"
Nieuwe Statenzijl	"53.230556, 7.206944"
Nieuwklap	"53.237500, 6.480556"
Nieuwolda	"53.244444, 6.975000"
Nieuwolda-Oost	"53.248611, 7.001389"
Nieuw-Scheemda	"53.209722, 6.944444"
Nieuwstad	"53.402778, 6.879167"
Niezijl	"53.266667, 6.340278"
Nijenklooster	"53.375000, 6.419444"
Nijenklooster	"53.344444, 6.847222"
Nooitgedacht	"53.418056, 6.847222"
Noordbroek	"53.194444, 6.873611"
Noordbroeksterhamrik	"53.212500, 6.908333"
Noorddijk	"53.244444, 6.627778"
Noorderburen	"53.273611, 6.397222"
Noorderhoogebrug	"53.245833, 6.568056"
Noordhorn	"53.261111, 6.395833"
Noordhornerga	"53.251389, 6.372222"
Noordhornertolhek	"53.254167, 6.377778"
Noordlaren	"53.120833, 6.666667"
Noordpolderzijl	"53.431944, 6.581944"
Noordwijk	"53.170833, 6.256944"
Noordwolde	"53.272222, 6.588889"
Nuis	"53.151389, 6.305556"
Numero Dertien	"53.050000, 6.919444"
Okswerd	"53.262500, 6.361111"
Oldehove	"53.302778, 6.395833"
Oldekerk	"53.219444, 6.340278"
Oldenklooster	"53.365278, 6.852778"
Oldenzijl	"53.393056, 6.713889"
Oldorp	"53.402778, 6.652778"
Oling	"53.313889, 6.833333"
Ommelanderwijk	"53.088889, 6.905556"
Onderdendam	"53.334722, 6.590278"
Onderwierum	"53.327778, 6.580556"
Onnen	"53.156944, 6.641667"
Onstwedde	"53.034722, 7.040278"
Oomsberg	"52.966667, 7.023611"
Oosteinde	"53.415278, 6.794444"
Oostereinde	"53.158333, 7.055556"
Oosternieland	"53.401389, 6.755556"
Oosterwijtwerd	"53.338889, 6.813889"
Oosterzand	"53.234722, 6.322222"
Oostindië	"53.134722, 6.372222"
Oostum	"53.280556, 6.498611"
Oostwold	"53.201389, 6.440278"
Oostwold	"53.202778, 7.045833"
Opende	"53.173611, 6.198611"
Opmeeden	"53.276389, 6.916667"
Opwierde	"53.313889, 6.873611"
Oudedijk	"53.406944, 6.461111"
Oude Pekela	"53.104167, 7.009722"
Oude Roodehaan	"53.208333, 6.620833"
Oudeschans	"53.137500, 7.140278"
Oudeschip	"53.429167, 6.826389"
Oudezijl	"53.188889, 7.198611"
Over de Dijk	"52.979167, 7.170833"
Overschild	"53.281944, 6.784722"
Paddepoel	"53.255556, 6.523611"
Pallert	"52.995833, 7.202778"
Pasop	"53.205556, 6.388889"
Peebos	"53.198611, 6.230556"
Peizerweg	"53.202778, 6.522222"
Pieterburen	"53.400000, 6.452778"
Pieterzijl	"53.281944, 6.269444"
Poldert	"53.030556, 7.141667"
Polen	"53.412500, 6.858333"
Ranum	"53.344444, 6.509722"
Rasquert	"53.368056, 6.516667"
Rhederbrug	"53.088889, 7.168056"
Rhederveld	"53.063889, 7.184722"
Rijsdam	"52.962500, 7.144444"
Roelage	"52.891667, 7.097222"
Roodehaan	"53.329167, 6.427778"
Roodehaan	"53.191667, 6.638889"
Roodeschool	"53.420833, 6.766667"
Rottum	"53.383333, 6.620833"
Ruigezand	"53.309722, 6.319444"
Ruischerbrug	"53.231944, 6.637500"
Ruiten	"53.201389, 6.765278"
Saaksum	"53.313889, 6.419444"
Saaxumhuizen	"53.381944, 6.484722"
Sappemeer	"53.163889, 6.790278"
Sauwerd	"53.293056, 6.534722"
Schaapbulten	"53.280556, 6.931944"
Schaaphok	"53.236111, 6.740278"
Scharmer	"53.204167, 6.705556"
Scheemda	"53.173611, 6.972222"
Scheemdermeer	"53.172222, 6.990278"
Scheemderzwaag	"53.181944, 6.951389"
Schildwolde	"53.233333, 6.813889"
Schilligeham	"53.325000, 6.486111"
Schouwen	"53.329167, 6.438889"
Schouwerzijl	"53.331944, 6.450000"
Sebaldeburen	"53.220833, 6.309722"
Sellingen	"52.945833, 7.151389"
Sellingerbeetse	"52.931944, 7.081944"
Sellingerzwarteveen	"52.956944, 7.158333"
Selwerd	"53.294444, 6.400000"
Selwerd	"53.247222, 6.551389"
Siddeburen	"53.250000, 6.868056"
Sint Annen	"53.297222, 6.665278"
Sint Annerhuisjes	"53.301389, 6.622222"
Slaperstil	"53.243056, 6.495833"
Slegge	"52.911111, 7.076389"
Slochteren	"53.216667, 6.801389"
Smeerling	"53.026389, 7.079167"
Spijk	"53.390278, 6.837500"
Spitsbergen	"53.176389, 6.833333"
Stadskanaal	"52.988889, 6.962500"
Stakenborg	"53.018056, 7.176389"
Startenhuizen	"53.369444, 6.709722"
Stedum	"53.322222, 6.695833"
Steendam	"53.273611, 6.843056"
Sterenborg	"53.037500, 7.066667"
Stitswerd	"53.361111, 6.600000"
Stootshorn	"53.194444, 6.838889"
Stork	"53.338889, 6.731944"
Suttum	"53.286111, 6.437500"
Tange	"53.040278, 7.025000"
Ten Boer	"53.276389, 6.694444"
Ten Post	"53.297222, 6.727778"
Ter Apel	"52.876389, 7.059722"
Ter Apelkanaal	"52.902778, 7.048611"
Ter Borg	"52.938889, 7.130556"
Ter Haar	"52.897222, 7.093056"
Ter Laan	"53.311111, 6.622222"
Ter Maarsch	"53.006944, 6.998611"
Termunten	"53.297222, 7.045833"
Termunterzijl	"53.300000, 7.036111"
Ter Wisch	"52.915278, 7.100000"
Ter Wupping	"53.038889, 7.079167"
Thesinge	"53.268056, 6.651389"
Tinallinge	"53.356944, 6.533333"
Tjamsweer	"53.323611, 6.830556"
Tjuchem	"53.280556, 6.877778"
't Kret	"53.204167, 6.355556"
't Lage van den Weg	"53.409722, 6.655556"
Tolbert	"53.176389, 6.372222"
Toornwerd	"53.354167, 6.636111"
Topweer	"53.169444, 6.191667"
Tranendal	"53.147222, 7.002778"
Tripscompagnie	"53.137500, 6.825000"
't Stort	"53.352778, 6.391667"
Tusschenloegen	"53.154167, 6.862500"
Tussenklappen	"53.145833, 6.865278"
't Veen	"53.179167, 6.855556"
Tweehuizen	"53.406944, 6.850000"
't Zandt	"53.366667, 6.777778"
Uiteinde	"53.369444, 6.877778"
Uiterburen	"53.176389, 6.873611"
Uithuizen	"53.406944, 6.670833"
Uithuizermeeden	"53.413889, 6.723611"
Uitwierde	"53.341667, 6.895833"
Ulrum	"53.359722, 6.333333"
Ulsda	"53.159722, 7.136111"
Usquert	"53.402778, 6.611111"
Veele	"53.038889, 7.098611"
Veelerveen	"53.055556, 7.127778"
Veendam	"53.106944, 6.879167"
Veenhuizen	"53.186111, 6.827778"
Veenhuizen	"53.018056, 7.013889"
Veldstreek	"53.112500, 6.327778"
Vierburen	"53.352778, 6.700000"
Vierhuizen	"53.361111, 6.291667"
Vierhuizen	"53.405556, 6.859722"
Vierverlaten	"53.212500, 6.481944"
Visvliet	"53.265278, 6.248611"
Vlagtwedde	"53.027778, 7.108333"
Vlagtwedder-Veldhuis	"53.011111, 7.133333"
Vledderhuizen	"53.006944, 7.037500"
Vledderveen	"52.987500, 7.006944"
Vosseberg	"52.991667, 7.047222"
Vriescheloo	"53.068056, 7.113889"
Wadwerd	"53.401389, 6.590278"
Wagenborgen	"53.255556, 6.933333"
Warffum	"53.391667, 6.558333"
Warfhuizen	"53.340278, 6.425000"
Waterhuizen	"53.186111, 6.651389"
Wedde	"53.069444, 7.079167"
Wedderheide	"53.068056, 7.102778"
Weende	"53.001389, 7.129167"
Wehe-Den Hoorn	"53.358333, 6.422222"
Weite	"53.023611, 7.137500"
Weiwerd	"53.311111, 6.947222"
Wessinghuizen	"53.052778, 7.075000"
Wessingtange	"52.918056, 7.144444"
Westeind	"53.111111, 7.037500"
Westeind	"53.163889, 6.822222"
Westerbroek	"53.184722, 6.687500"
Westerdijkshorn	"53.309722, 6.575000"
Westeremden	"53.344444, 6.711111"
Westeremder Voorwerk	"53.359722, 6.716667"
Westerhorn	"53.393056, 6.597222"
Westerklooster	"53.387500, 6.383333"
Westerlee	"53.145833, 6.987500"
Westernieland	"53.401389, 6.483333"
Westerwijtwerd	"53.333333, 6.643056"
Westerzand	"53.236111, 6.308333"
Wierhuizen	"53.402778, 6.429167"
Wierum	"53.268056, 6.511111"
Wierumerschouw	"53.269444, 6.502778"
Wildeplaats	"53.029167, 6.934722"
Wilderhof	"53.272222, 6.904167"
Wildervank	"53.080556, 6.862500"
Wildervanksterdallen	"53.054167, 6.883333"
Willemstad	"53.134722, 6.288889"
Winneweer	"53.309722, 6.745833"
Winschoten	"53.144444, 7.034722"
Winschoterhoogebrug	"53.130556, 7.048611"
Winsum	"53.329167, 6.520833"
Wirdum	"53.322222, 6.784722"
Wirdumerdraai	"53.313889, 6.788889"
Wittewierum	"53.287500, 6.747222"
Woldendorp	"53.273611, 7.030556"
Wolfsbarge	"53.125000, 6.720833"
Wollingboermarke	"53.002778, 7.170833"
Wollinghuizen	"52.994444, 7.148611"
Woltersum	"53.270833, 6.731944"
Woudbloem	"53.216667, 6.737500"
Zandberg	"52.918056, 7.041667"
Zandeweer	"53.387500, 6.683333"
Zandstroom	"53.095833, 7.076389"
Zeerijp	"53.348611, 6.761111"
Zethuis	"53.155556, 6.238889"
Zevenhuizen	"53.384722, 6.691667"
Zevenhuizen	"53.254167, 6.668056"
Zevenhuizen	"53.126389, 6.347222"
Zijldijk	"53.394444, 6.756944"
Zomerdijk	"53.272222, 6.968056"
Zoutkamp	"53.338889, 6.304167"
Zuidbroek	"53.163889, 6.861111"
Zuidhorn	"53.245833, 6.402778"
Zuidveld	"52.929167, 7.151389"
Zuidwending	"53.095833, 6.934722"
Zuidwolde	"53.262500, 6.591667"
Zuurdijk	"53.338889, 6.376389"
